retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,Outlet
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,51,233,11883,3208.41,Outlet
Kohl's,1189833,1/1/21,Midwest,Montana,Billings,Men's Apparel,50,275,137500,82500,Outlet
Kohl's,1189833,1/1/21,Midwest,Montana,Billings,Men's Apparel,47,77,3619,2714.25,Online
West Gear,1128299,1/1/21,West,California,San Francisco,Men's Athletic Footwear,64,225,14400,5184,Online
Kohl's,1189833,1/2/21,Midwest,Montana,Billings,Women's Apparel,45,475,213750,53437.5,Outlet
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,60,218,13080,6670.8,Online
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,46,225,10350,4554,Outlet
West Gear,1128299,1/2/21,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,Outlet
Kohl's,1189833,1/2/21,Midwest,Montana,Billings,Women's Apparel,43,138,5934,2314.26,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Street Footwear,20,250,50000,15000,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,250,75000,26250,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Street Footwear,30,450,135000,40500,In-store
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,56,182,10192,4586.4,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Apparel,40,150,60000,30000,In-store
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,Outlet
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25,100,25000,7500,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Apparel,30,250,75000,30000,In-store
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Apparel,28,73,2044,1124.2,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Apparel,38,45,1710,1060.2,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Athletic Footwear,23,29,667,300.15,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Street Footwear,18,65,1170,479.7,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Athletic Footwear,29,70,2030,933.8,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Street Footwear,28,126,3528,1587.6,Online
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,42,228,9576,4021.92,Outlet
Kohl's,1189833,1/3/21,Midwest,Montana,Billings,Men's Street Footwear,35,525,183750,82687.5,Outlet
Kohl's,1189833,1/3/21,Midwest,Montana,Billings,Men's Street Footwear,34,158,5372,3062.04,Online
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,49,182,8918,5083.26,Outlet
Kohl's,1189833,1/4/21,Midwest,Montana,Billings,Men's Athletic Footwear,45,425,191250,57375,Outlet
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,65,550,357500,196625,Outlet
Kohl's,1189833,1/4/21,Midwest,Montana,Billings,Men's Athletic Footwear,42,123,5166,2324.7,Online
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,60,154,9240,6098.4,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,20,209,4180,1504.8,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,21,162,3402,1258.74,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,26,166,4316,1812.72,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,14,223,3122,1061.48,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,28,119,3332,1332.8,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,36,85,3060,1132.2,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,33,133,4389,2326.17,Online
Kohl's,1189833,1/5/21,Midwest,Montana,Billings,Women's Street Footwear,45,450,202500,91125,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,28,111,3108,870.24,Outlet
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,72,189,13608,4490.64,Online
Kohl's,1189833,1/5/21,Midwest,Montana,Billings,Women's Street Footwear,43,122,5246,2990.22,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,19,182,3458,1486.94,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,28,196,5488,2469.6,Online
